id,year,hours,spills
SBB00044,2021,45.8,16
SBB00044,2022,0.9,2
SBB00044,2024,57.8,22
SBB00044,2025,127.0,44
SBB00054,2021,,
SBB00054,2022,,
SBB00054,2024,1317.4,128
SBB00054,2025,1511.3,167
SBB00072,2021,1694.6,112
SBB00072,2022,931.1,71
SBB00072,2024,1613.2,113
SBB00072,2025,973.3,76
SBB00074,2021,,
SBB00074,2022,0.0,0
SBB00074,2024,41.3,6
SBB00074,2025,9.9,6
SBB00096,2021,2230.6,138
SBB00096,2022,790.9,74
SBB00096,2024,1441.0,90
SBB00096,2025,1252.7,69
SBB00109,2021,168.9,85
SBB00109,2022,78.6,82
SBB00109,2024,17.3,47
SBB00109,2025,41.7,53
SBB00142,2021,0.0,0
SBB00142,2022,0.0,0
SBB00142,2024,6.0,7
SBB00142,2025,11.4,8
SBB00147,2021,0.0,0
SBB00147,2022,868.7,53
SBB00147,2024,1822.1,90
SBB00147,2025,1191.6,61
SBB00148,2021,,
SBB00148,2022,,
SBB00148,2024,4512.4,205
SBB00148,2025,3762.9,172
SBB00193,2021,,
SBB00193,2024,116.3,6
SBB00193,2025,0.0,0
SBB00194,2021,,
SBB00194,2022,286.1,24
SBB00194,2024,883.8,144
SBB00194,2025,588.2,127
SBB00217,2021,,
SBB00217,2022,0.0,0
SBB00217,2024,0.2,2
SBB00217,2025,0.2,4
SBB00238,2021,120.4,35
SBB00238,2022,208.0,83
SBB00238,2024,895.9,66
SBB00238,2025,837.1,56
SBB00249,2021,,
SBB00249,2022,0.3,1
SBB00249,2024,18.3,37
SBB00249,2025,23.3,52
SBB00250,2021,1803.4,116
SBB00250,2022,948.6,96
SBB00250,2024,724.1,80
SBB00250,2025,599.1,60
SBB00256,2021,,
SBB00256,2022,0.0,0
SBB00256,2024,162.0,71
SBB00256,2025,126.6,75
SBB00257,2021,2242.8,155
SBB00257,2022,1142.3,120
SBB00257,2024,1920.3,132
SBB00257,2025,1913.0,121
SBB00283,2021,,
SBB00283,2022,1793.9,94
SBB00283,2024,1985.9,109
SBB00283,2025,1541.8,84
SBB00296,2021,42.5,20
SBB00296,2022,17.6,11
SBB00296,2024,38.7,13
SBB00296,2025,22.6,10
SBB00313,2021,,
SBB00313,2022,8.2,8
SBB00313,2024,5.5,22
SBB00313,2025,14.8,19
SBB00351,2021,6.1,8
SBB00351,2022,0.3,1
SBB00351,2024,12.2,3
SBB00351,2025,16.9,5
SBB00361,2021,,
SBB00361,2022,0.0,0
SBB00361,2024,0.0,0
SBB00361,2025,0.0,0
SBB00392,2021,,
SBB00392,2022,708.0,38
SBB00392,2024,480.4,111
SBB00392,2025,224.7,102
SBB00396,2021,,
SBB00396,2022,4.1,8
SBB00396,2024,11.8,25
SBB00396,2025,25.0,57
SBB00397,2021,,
SBB00397,2022,2.4,4
SBB00397,2024,63.6,36
SBB00397,2025,57.2,34
SBB00437,2021,0.0,0
SBB00437,2022,0.0,0
SBB00437,2024,0.0,0
SBB00437,2025,0.1,1
SBB00466,2021,,
SBB00466,2022,139.8,14
SBB00466,2024,809.5,112
SBB00466,2025,548.6,81
SBB00489,2021,,
SBB00489,2022,60.8,5
SBB00489,2024,23.5,21
SBB00489,2025,214.3,49
SBB00498,2021,14.1,17
SBB00498,2022,2.2,10
SBB00498,2024,2.5,8
SBB00498,2025,2.0,8
SBB00516,2021,,
SBB00516,2022,0.0,0
SBB00516,2024,0.3,2
SBB00516,2025,0.9,4
SBB00597,2021,,
SBB00597,2022,886.6,49
SBB00597,2024,1602.6,229
SBB00597,2025,2035.4,230
SBB00623,2021,,
SBB00623,2022,0.0,0
SBB00623,2024,3.6,12
SBB00623,2025,1.2,7
SBB00638,2021,,
SBB00638,2022,549.0,26
SBB00638,2024,195.8,26
SBB00638,2025,82.2,21
SBB00640,2021,,
SBB00640,2022,0.4,2
SBB00640,2024,18.1,13
SBB00640,2025,7.7,11
SBB00670,2021,,
SBB00670,2022,239.8,71
SBB00670,2024,476.8,111
SBB00670,2025,402.3,92
SBB00699,2021,,
SBB00699,2022,0.0,0
SBB00699,2024,1236.7,99
SBB00699,2025,1000.5,80
SBB00703,2021,,
SBB00703,2021,21.1,34
SBB00703,2021,410.1,32
SBB00703,2022,19.3,32
SBB00703,2022,175.5,13
SBB00703,2024,37.0,39
SBB00703,2025,0.1,2
SBB00704,2024,380.2,33
SBB00704,2025,182.5,16
SBB00818,2021,420.7,34
SBB00818,2022,251.7,19
SBB00818,2024,448.5,35
SBB00818,2025,229.3,21
SBB00842,2021,1872.3,167
SBB00842,2022,1721.8,145
SBB00842,2024,1564.8,99
SBB00842,2025,1016.8,85
SBB00849,2021,,
SBB00849,2024,5.9,1
SBB00849,2025,17.8,27
SBB00850,2024,52.5,48
SBB00850,2025,158.2,78
SBB00851,2021,48.4,72
SBB00851,2021,1121.6,87
SBB00851,2022,34.1,59
SBB00851,2022,352.8,45
SBB00851,2024,2173.4,92
SBB00851,2025,1049.3,61
SBB00863,2021,1.7,16
SBB00863,2022,1.4,5
SBB00863,2024,2.4,15
SBB00863,2025,1.0,6
SBB00907,2021,3.8,12
SBB00907,2021,407.9,30
SBB00907,2022,1.0,8
SBB00907,2022,350.6,42
SBB00907,2024,11.8,13
SBB00907,2025,20.8,17
SBB00908,2024,278.9,47
SBB00908,2025,113.7,26
SBB00938,2021,3.4,9
SBB00938,2022,2.7,6
SBB00938,2024,6.6,11
SBB00938,2025,1.9,4
SBB00970,2021,0.7,2
SBB00970,2022,1.7,1
SBB00970,2024,0.0,0
SBB00970,2025,0.0,0
SBB00976,2021,1628.5,88
SBB00976,2022,263.8,33
SBB00976,2024,110.1,38
SBB00976,2025,88.6,32
SBB01010,2021,,
SBB01010,2022,143.8,13
SBB01010,2024,320.9,77
SBB01010,2025,126.6,37
SBB01013,2021,,
SBB01013,2022,0.0,0
SBB01013,2024,52.0,18
SBB01013,2025,75.3,21
SBB01025,2021,,
SBB01025,2022,392.0,17
SBB01025,2024,151.2,43
SBB01025,2025,48.8,11
SBB01036,2021,9.2,26
SBB01036,2022,2.9,13
SBB01036,2024,7.9,23
SBB01036,2025,5.6,18
SBB01038,2021,138.5,86
SBB01038,2022,98.9,84
SBB01038,2024,129.5,72
SBB01038,2025,75.0,58
SBB01080,2021,0.1,1
SBB01080,2022,0.4,2
SBB01080,2024,0.0,0
SBB01080,2025,0.1,1
SBB01100,2021,1595.8,165
SBB01100,2021,759.0,74
SBB01100,2022,274.5,96
SBB01100,2022,1284.3,102
SBB01100,2024,506.4,108
SBB01100,2025,539.7,118
SBB01101,2024,2728.6,170
SBB01101,2025,2014.1,143
SBB01105,2021,,
SBB01105,2022,0.0,0
SBB01105,2024,1.3,7
SBB01105,2025,0.5,6
SBB01106,2021,243.3,40
SBB01106,2022,207.2,33
SBB01106,2024,188.7,37
SBB01106,2025,198.8,29
SBB01121,2024,2664.2,158
SBB01121,2025,2424.6,142
SBB01171,2021,,
SBB01171,2022,0.0,0
SBB01171,2024,172.6,9
SBB01171,2025,0.0,0
SBB01182,2021,,
SBB01182,2022,0.0,0
SBB01182,2024,0.0,0
SBB01182,2025,0.0,0
SBB01267,2021,113.9,80
SBB01267,2022,65.8,75
SBB01267,2024,140.1,88
SBB01267,2025,116.6,77
SBB01321,2021,64.7,90
SBB01321,2022,49.1,88
SBB01321,2024,40.9,83
SBB01321,2025,36.3,72
SBB01322,2021,0.0,0
SBB01322,2022,0.0,0
SBB01322,2024,0.0,0
SBB01322,2025,0.0,0
SBB01333,2021,,
SBB01333,2022,0.0,0
SBB01333,2024,1.1,3
SBB01333,2025,37.1,12
SBB01336,2021,,
SBB01336,2022,0.0,0
SBB01336,2024,1090.1,102
SBB01336,2025,1006.9,94
SBB01347,2021,35.0,24
SBB01347,2021,35.0,24
SBB01347,2022,11.1,22
SBB01347,2022,5.8,15
SBB01347,2024,40.7,10
SBB01347,2025,40.8,19
SBB01368,2021,,
SBB01368,2022,0.0,0
SBB01368,2024,6.8,3
SBB01368,2025,0.0,0
SBB01388,2021,13.0,29
SBB01388,2022,4.2,15
SBB01388,2024,21.5,42
SBB01388,2025,14.1,27
SBB01390,2021,1711.4,120
SBB01390,2022,972.0,81
SBB01390,2024,1489.7,123
SBB01390,2025,124.1,31
SBB01391,2021,,
SBB01391,2022,15.4,5
SBB01391,2024,455.7,59
SBB01391,2025,403.3,47
SBB01393,2021,0.0,0
SBB01393,2022,775.5,88
SBB01393,2024,1414.3,83
SBB01393,2025,1886.1,97
SBB01434,2022,0.0,0
SBB01434,2024,58.6,31
SBB01434,2025,67.2,42
