id,river,lat,lon
SBB00044,River Taw Estuary(E),51.078177,-4.063176
SBB00054,Trib Of Mully Brook,50.907408,-3.9631559999999997
SBB00072,River Taw Estuary,51.087023,-4.096698
SBB00074,River Yeo (S),50.85781,-3.810173
SBB00096,River Taw,50.737736,-3.917784
SBB00109,(S) Crooked Oak Stream,50.994493,-3.770028
SBB00142,River Yeo,50.804273,-3.82343
SBB00147,(S) River Yeo (Barnstaple),51.113305,-3.950012
SBB00148,River Bray(S),51.094124,-3.880226
SBB00193,Tributary Of River Taw(S),50.934277,-3.942939
SBB00194,Trib Of Mully Brook,50.934367,-3.942943
SBB00217,Trib Of R. Mole (S),51.017045,-3.82977
SBB00238,Little Dart River,50.902864,-3.821876
SBB00249,Trib Of Hawkridge Brook (S),51.012219,-3.94477
SBB00250,Trib Of Hawkbridge Brook,51.010021,-3.947101
SBB00256,Little Dart River (S),50.91159,-3.872859
SBB00257,Little Dart River,50.909868,-3.868095
SBB00283,Hawkridge Brook(S),51.018234,-3.966837
SBB00296,Bryn Brook(S),51.071775,-4.10443
SBB00313,River Dalch (S),50.854237,-3.796963
SBB00351,Common Lake Stream,50.957566,-4.133725
SBB00361,Trib Of River Yeo Via Sws,51.084418,-4.056028
SBB00392,Tributary Of Crooked Oak,50.995499,-3.658626
SBB00396,R. Mole (S),51.054022,-3.793986
SBB00397,Trib Little Dart River (S),50.913592,-3.860136
SBB00437,River Yeo Via Sws (Estuarine),51.084459,-4.063884
SBB00466,Trib Of River Yeo(S),50.997971,-4.26613
SBB00489,Trib Of River Mole,50.990511,-3.852808
SBB00498,Goodleigh Stream,51.087589,-4.002906
SBB00516,Trib Little Dart (S),50.913592,-3.860136
SBB00597,Tributary Of River Yeo,50.98558,-4.297301
SBB00623,River Yeo (S),50.780879,-3.636266
SBB00638,Trib Of River Taw,50.955373,-3.873764
SBB00640,Tributary Of River Mole,50.959725,-3.882768
SBB00670,The River Dalch,50.854239,-3.796821
SBB00699,Trib Of River Yeo(S),50.985973,-4.230636
SBB00703,River Yeo/River Creedy,50.793671,-3.634727
SBB00704,River Yeo/River Creedy,50.793671,-3.634727
SBB00818,Bryn Brook(S),51.072658,-4.110323
SBB00842,River Mole,51.052884,-3.791945
SBB00849,River Taw,50.799141,-3.908093
SBB00850,River Taw,50.801528,-3.910603
SBB00851,River Taw,50.801528,-3.910603
SBB00863,River Taw Estuary(E),51.076861,-4.076537
SBB00907,(S) River Yeo,50.9701,-4.288702
SBB00908,(S) River Yeo,50.9701,-4.288702
SBB00938,Tidal River Yeo(E),51.085036,-4.061767
SBB00970,Trib Of River Taw Estuary (S),51.07488,-4.0511800000000004
SBB00976,Taw Estuary & Tributary(E),51.08078,-4.073571
SBB01010,Trib. Of Little Dart River,50.948403,-3.637588
SBB01013,Trib Of River Yeo (S),50.853005,-3.806861
SBB01025,Tributary Of Mully Brook(S),50.906843,-3.980628
SBB01036,Taw Estuary(E) & Coney Gut(S),51.073919,-4.054706
SBB01038,Castle Hill Stream,50.948222,-4.138137
SBB01080,Bryn Brook(S),51.071926,-4.101011
SBB01100,River Mole,51.016617,-3.822625
SBB01101,River Mole,51.016617,-3.822625
SBB01105,Tributary Of Nadrid Water (S),51.01594,-3.842844
SBB01106,Tributary Of River Taw,50.728457,-3.90777
SBB01171,River Taw (S),50.72963,-3.923971
SBB01172,River Taw (S),50.729913,-3.923133
SBB01182,Tributary Of River Yeo(S),51.100857,-3.95763
SBB01267,Trib. Of Common Lake Stream,50.955918,-4.150025
SBB01321,Castle Hill Stream,50.949575,-4.137915
SBB01322,Castle Hill Stream Via Sws,50.949575,-4.137915
SBB01323,Castle Hill Stream Via Sws,50.31593,-4.09446
SBB01333,River Yeo,51.025164,-3.653125
SBB01336,Tributary Of River Mole(S),51.06352,-3.9150929999999997
SBB01347,Tributary Of Nadrid Water,51.015872,-3.841415
SBB01368,Trib Of River Mole,51.020849,-3.8337700000000003
SBB01388,River Taw Estuary(E),51.068648,-4.176943
SBB01390,River Yeo,50.775561,-3.718346
SBB01391,River Yeolm (S),50.661723,-4.381638
SBB01393,River Yeo,50.819673,-3.810543
SBB01434,River Mole,50.985173,-3.820538
