id,name,asset_type,shellfish_water,bathing_water
SBB00044,ANCHORWOOD PS,Storm discharge at pumping station,Taw-Torridge Estuary,Not Applicable
SBB00054,ASHREIGNY WWTW CSO,Inlet SO at WwTW,Not Applicable,Not Applicable
SBB00072,BARNSTAPLE (ASHFORD) STW,Storm tank at WwTW,Taw-Torridge Estuary,Not Applicable
SBB00074,BARRIS CSO,SO on sewer network,Not Applicable,Not Applicable
SBB00096,BELSTONE AND SOUTH TAWTON WWTW,Storm tank at WwTW,Not Applicable,Not Applicable
SBB00109,BISHOPS NYMPTON STW,Inlet SO at WwTW,Not Applicable,Not Applicable
SBB00142,BOW WASTEWATER TREATMENT WORKS,Inlet SO at WwTW,Not Applicable,Not Applicable
SBB00147,BRATTON FLEMING STW,Inlet SO at WwTW,Not Applicable,Not Applicable
SBB00148,BRAYFORD STW,Inlet SO at WwTW,Not Applicable,Not Applicable
SBB00193,BURRINGTON CSO,SO on sewer network,Not Applicable,Not Applicable
SBB00194,BURRINGTON STW,Inlet SO at WwTW,Not Applicable,Not Applicable
SBB00217,CATTLE MARKET CSO,SO on sewer network,Not Applicable,Not Applicable
SBB00238,CHAWLEIGH STW,Inlet SO at WwTW,Not Applicable,Not Applicable
SBB00249,CHITTLEHAMPTON CSO,SO on sewer network,Not Applicable,Not Applicable
SBB00250,CHITTLEHAMPTON WWTW,Storm tank at WwTW,Not Applicable,Not Applicable
SBB00256,CHULMLEIGH (GOLF COURSE),SO on sewer network,Not Applicable,Not Applicable
SBB00257,CHULMLEIGH WWTW SSO,Storm tank at WwTW,Not Applicable,Not Applicable
SBB00283,COBBATON STW,Inlet SO at WwTW,Not Applicable,Not Applicable
SBB00296,COMBREW LANE CSO,SO on sewer network,Taw-Torridge Estuary,Not Applicable
SBB00313,COURT BARTON FARM CSO,SO on sewer network,Not Applicable,Not Applicable
SBB00351,DARTINGTON CLOSE PUMPING STATION,Storm discharge at pumping station,Taw-Torridge Estuary,Not Applicable
SBB00361,DERBY ROAD COMBINED SEWER OVERFLOW,SO on sewer network,Taw-Torridge Estuary,Not Applicable
SBB00392,EAST KNOWSTONE STW,Inlet SO at WwTW,Not Applicable,Not Applicable
SBB00396,EAST STREET CSO,SO on sewer network,Not Applicable,Not Applicable
SBB00397,EAST STREET PSCSO/EO,Storm discharge at pumping station,Not Applicable,Not Applicable
SBB00437,FAIR VIEW CAR PARK CSO,SO on sewer network,Taw-Torridge Estuary,Not Applicable
SBB00466,FORD & FAIRY CROSS STW,Storm tank at WwTW,Not Applicable,Not Applicable
SBB00489,GEORGE NYMPTON WWTW SSO,Storm tank at WwTW,Not Applicable,Not Applicable
SBB00498,GOODLEIGH WWTW,Inlet SO at WwTW,Not Applicable,Not Applicable
SBB00516,GREENACRE PSCSO/EO,Storm discharge at pumping station,Not Applicable,Not Applicable
SBB00597,HORNS CROSS SEWAGE TREATMENT WORKS,Inlet SO at WwTW,Not Applicable,Not Applicable
SBB00623,JEWSONS YARD CSO,SO on sewer network,Not Applicable,Not Applicable
SBB00638,KINGS NYMPTON (SOUTH) WWTW SSO,Storm tank at WwTW,Not Applicable,Not Applicable
SBB00640,KINGS NYMPTON NORTH STW,Inlet SO at WwTW,Not Applicable,Not Applicable
SBB00670,WWTW AT LAPFORD,Inlet SO at WwTW,Not Applicable,Not Applicable
SBB00699,LITTLEHAM STW,Storm tank at WwTW,Not Applicable,Not Applicable
SBB00703,LORDS MEADOW WWTW,Inlet SO at WwTW,Not Applicable,Not Applicable
SBB00704,LORDS MEADOW WWTW,Storm tank at WwTW,Not Applicable,Not Applicable
SBB00818,MUDDLEBRIDGE CSO,SO on sewer network,Taw-Torridge Estuary,Not Applicable
SBB00842,NORTH MOLTON STW,Storm tank at WwTW,Not Applicable,Not Applicable
SBB00849,NORTH TAWTON PSCSO/EO,Storm discharge at pumping station,Not Applicable,Not Applicable
SBB00850,NORTH TAWTON WWTW,Inlet SO at WwTW,Not Applicable,Not Applicable
SBB00851,NORTH TAWTON WWTW,Storm tank at WwTW,Not Applicable,Not Applicable
SBB00863,OAKLAND PARK CSO,SO on sewer network,Taw-Torridge Estuary,Not Applicable
SBB00907,PARKHAM STW,Inlet SO at WwTW,Not Applicable,Not Applicable
SBB00908,PARKHAM STW,Storm tank at WwTW,Not Applicable,Not Applicable
SBB00938,PILTON QUAY CSO,SO on sewer network,Taw-Torridge Estuary,Not Applicable
SBB00970,PORTMARSH CSO,SO on sewer network,Taw-Torridge Estuary,Not Applicable
SBB00976,POTTINGTON PUMPING STATION,Storm discharge at pumping station,Taw-Torridge Estuary,Not Applicable
SBB01010,RACKENFORD WWTW SSO,Storm tank at WwTW,Not Applicable,Not Applicable
SBB01013,RAILWAY PSCSO/EO,Storm discharge at pumping station,Not Applicable,Not Applicable
SBB01025,RIDDLECOMBE WASTE WATER TREATMENT,Inlet SO at WwTW,Not Applicable,Not Applicable
SBB01036,ROCK PARK CSO,Storm discharge at pumping station,Taw-Torridge Estuary,Not Applicable
SBB01038,ROLLE ROAD COMBINED SEWER OVERFLOW,SO on sewer network,Taw-Torridge Estuary,Not Applicable
SBB01080,SHIELING ROAD CSO,SO on sewer network,Taw-Torridge Estuary,Not Applicable
SBB01100,SOUTH MOLTON WWTW,Inlet SO at WwTW,Not Applicable,Not Applicable
SBB01101,SOUTH MOLTON WWTW,Storm tank at WwTW,Not Applicable,Not Applicable
SBB01105,SOUTH STREET CSO,SO on sewer network,Not Applicable,Not Applicable
SBB01106,SOUTH ZEAL PUMPING STATION,Storm discharge at pumping station,Not Applicable,Not Applicable
SBB01121,WITHERIDGE STW_SSO_WITHERIDGE,Storm tank at WwTW,Not Applicable,Not Applicable
SBB01171,STICKLEPATH BRIDGE CSO,SO on sewer network,Not Applicable,Not Applicable
SBB01182,STOKE RIVERS STW,Inlet SO at WwTW,Not Applicable,Not Applicable
SBB01267,TOWN PARK PUMPING STATION,Storm discharge at pumping station,Taw-Torridge Estuary,Not Applicable
SBB01321,WATERY LANE CSO,SO on sewer network,Taw-Torridge Estuary,Not Applicable
SBB01322,WATERY LANE CSO,SO on sewer network,Taw-Torridge Estuary,Not Applicable
SBB01333,WEST ANSTEY STW,Inlet SO at WwTW,Not Applicable,Not Applicable
SBB01336,WEST BUCKLAND STW,Inlet SO at WwTW,Not Applicable,Not Applicable
SBB01347,WEST STREET PUMPING STATION,Storm discharge at pumping station,Not Applicable,Not Applicable
SBB01368,WINSFORD PARK PSCSO/EO,Storm discharge at pumping station,Not Applicable,Not Applicable
SBB01388,YELLAND PUMPING STATION,Storm discharge at pumping station,Taw-Torridge Estuary,Not Applicable
SBB01390,YEOFORD WASTEWATER TREATMENT WORKS,Storm tank at WwTW,Not Applicable,Not Applicable
SBB01391,YEOLMBRIDGE CSO,SO on sewer network,Not Applicable,Not Applicable
SBB01393,ZEAL MONACHORUM STW,Inlet SO at WwTW,Not Applicable,Not Applicable
SBB01434,WWTW AT ALSWEAR NO. 1,Inlet SO at WwTW,Not Applicable,Not Applicable
